SMILES,CID,ROMol,molecular_weight,n_hba,n_hbd,logp,f_avg_pIC50,r_avg_pIC50,Ro5_fulfilled
COc1cc(CN2CCN(C(=O)CCl)CC2)c2ccccc2c1,DAR-DIA-fb20be43-7,<rdkit.Chem.rdchem.Mol object at 0x1683ed4d0>,332.129155592,3,0,2.7314000000000007,5.561431591054845,5.790288518283104,True
O=C(CCl)N1CCN(C(c2ccccc2)C2CCOCC2)CC1,GIA-UNK-20b63697-2,<rdkit.Chem.rdchem.Mol object at 0x1683ed460>,336.16045572,3,0,2.537300000000001,4.662265642828726,5.7726275565884,True
O=C(CCl)N1CCN(C(c2ccccc2)C2CCCCC2)CC1,GIA-UNK-20b63697-6,<rdkit.Chem.rdchem.Mol object at 0x1683ed3f0>,334.18119116400004,2,0,3.6910000000000025,5.361479441468479,6.191408797480539,True
CC(CCc1ccccc1)N1CCN(C(=O)CCl)CC1,MAK-UNK-af83ef51-2,<rdkit.Chem.rdchem.Mol object at 0x1683ed380>,294.14989103600004,2,0,2.3907000000000007,4.693130729755415,4.867003422645562,True
Cc1cccc(CC2CCN(C(=O)CCl)CC2)c1,MAK-UNK-af83ef51-6,<rdkit.Chem.rdchem.Mol object at 0x1683ed310>,265.12334194,1,0,3.014920000000002,4.831952033482913,5.34738754240837,True
CS(=O)(=O)N1CCc2ccc(CN3CCN(C(=O)CCl)CC3)cc2C1,TAM-UNI-d1c3dd9f-5,<rdkit.Chem.rdchem.Mol object at 0x1683ed2a0>,385.122690308,4,0,0.8873000000000002,4.395931343331664,4.415677575204123,True
O=C(CCl)N1CCN(Cc2cc(Cl)cc(Cl)c2)CC1,PAU-UNI-8cdd41c7-1,<rdkit.Chem.rdchem.Mol object at 0x1683ed230>,320.02499614000004,2,0,2.876400000000001,5.723668205847767,6.322879088914655,True
O=C(CCl)N1CCN(Cc2cc(Cl)ccc2CNC(=O)N2CCOCC2)CC1,STU-CHA-6cae54d3-1,<rdkit.Chem.rdchem.Mol object at 0x1683ed1c0>,428.13819605199996,4,1,1.7648000000000001,5.420773221571178,5.255573549671789,True
O=C(NCc1ccc(Cl)cc1CN1CCN(C(=O)CCl)CC1)[C@@H]1CCCOC1,STU-CHA-7b3b91d5-1,<rdkit.Chem.rdchem.Mol object at 0x1683ed150>,427.142947084,4,1,2.2657999999999996,4.916739725304216,4.69609663867848,True
NS(=O)(=O)c1ccc2c(c1)CN(CC1CCN(C(=O)CCl)CC1)CC2,STU-CHA-83dacf15-1,<rdkit.Chem.rdchem.Mol object at 0x1683ed0e0>,385.12269030799996,4,1,1.1694999999999998,4.709073981733832,4.505293327335102,True
O=C(CCl)N1CCN(C(c2ccccc2)c2ccccc2)CC1,SIM-SYN-f15aaa3a-1,<rdkit.Chem.rdchem.Mol object at 0x1683ed070>,328.13424097200004,2,0,3.1590000000000016,5.704347704073642,6.413596422413756,True
O=C(CCl)N1CCC(c2nc(-c3cccnc3)nc3ccccc23)CC1,WAR-XCH-b0339bbe-19,<rdkit.Chem.rdchem.Mol object at 0x1683ed000>,366.124738908,4,0,3.6366000000000023,4.740520381574143,4.828185191308784,True
Cc1ccc(S(=O)(=O)NC2CCN(C(=O)CCl)CC2)cc1,WAR-XCH-79d12f6e-4,<rdkit.Chem.rdchem.Mol object at 0x1683ecf90>,330.080491148,3,1,1.5031199999999998,4.474423601761343,4.733334289992036,True
Cc1ccc(C)c(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c1,WAR-XCH-79d12f6e-6,<rdkit.Chem.rdchem.Mol object at 0x1683ecf20>,330.080491148,3,0,1.3751400000000003,4.847207755044236,5.789582777567664,True
NS(=O)(=O)CCc1ccccc1CN1CCN(C(=O)CCl)CC1,MIH-UNI-e573136b-5,<rdkit.Chem.rdchem.Mol object at 0x1683eceb0>,359.10704024399996,4,1,0.40059999999999985,5.565907066600676,6.0789738434037766,True
O=C(CCl)N1CCN(Cc2cc(O)ccc2O)CC1,NEH-REV-107bcf72-5,<rdkit.Chem.rdchem.Mol object at 0x1683ece40>,284.092770084,4,2,0.9807999999999999,4.427046466799955,5.032304621079732,True
C=CC(=O)NCC(=O)N(Cc1ccccc1)C[C@H](O)c1cccs1,JUA-UNI-bc099708-1,<rdkit.Chem.rdchem.Mol object at 0x1683ecdd0>,344.11946350000005,4,2,2.1125,4.002176919254275,4.00436480540245,True
C=CC(=O)NCc1ccc(C(=O)NCc2cc(C)cc3c(C)c(C)[nH]c23)cc1,JUA-UNI-bc099708-2,<rdkit.Chem.rdchem.Mol object at 0x1683ecd60>,375.19467704000004,2,3,3.8253600000000025,4.002176919254275,4.00436480540245,True
C=CC(=O)NCC(=O)N(CCN1CCOCC1)Cc1sccc1Br,JUA-UNI-bc099708-3,<rdkit.Chem.rdchem.Mol object at 0x1683eccf0>,415.05652466400005,5,1,1.4736,4.002176919254275,4.00436480540245,True
C=CC(=O)NCc1ccc(C(=O)N[C@H](CO)c2ccc(Br)c(F)c2)cc1,JUA-UNI-bc099708-4,<rdkit.Chem.rdchem.Mol object at 0x1683ecc80>,420.048482756,3,3,2.8538000000000014,4.002176919254275,4.00436480540245,True
