Split,MACCS MAE,MACCS MSE,MACCS R2
Default Random,0.547,0.537,0.392
Optuna Random,0.573,0.552,0.375
Default Furthest,0.611,0.574,0.035
Optuna Furthest,0.605,0.559,0.06
