Split,MAE,MSE,R2
Random,0.43957112152415145,0.39499852632084226,0.4633191588282587
Stratified pIC50,0.5174135029605621,0.48361521130408563,0.4476968552308531
Hierarchical Clustering,0.7089661112583165,0.7654794063454599,0.26578346167321576
UMAP Noise,0.8401965240313869,0.9626149404871652,-0.19621137411048206
UMAP Furthest Cluster,0.8149227430038712,0.9051894338656374,-0.1932623800724489
